placeID,parking_lot1,parking_lot2,count
132816,none,,1
132831,none,,1
132958,none,,1
135014,none,,1
135024,yes,,1
132726,yes,,1
132731,none,,1
132768,none,,1
132785,public,,1
132815,yes,,1
132874,none,,1
135020,yes,,1
135033,none,,1
135050,yes,,1
132482,yes,,1
132809,none,,1
132818,public,,1
132912,none,,1
133034,none,,1
134996,yes,,1
132725,none,,1
132870,none,,1
135018,yes,,1
135090,public,,1
132616,yes,,1
132622,yes,,1
132772,public,,1
132886,none,,1
132889,none,,1
134978,yes,,1
132521,public,,2
132677,none,,1
132706,public,,1
132789,Yes,valet parking,1
132896,Yes,valet parking,1
134976,yes,valet parking,1
135066,yes,valet parking,1
132621,Yes,valet parking,1
132670,none,,1
132890,Yes,valet parking,1
132900,public,valet parking,1
133035,public,valet parking,1
134992,yes,valet parking,1
135063,Yes,valet parking,1
132107,public,valet parking,1
132603,yes,valet parking,1
132804,yes,valet parking,1
132980,Yes,valet parking,1
135012,Yes,valet parking,1
135064,yes,valet parking,1
132326,public,valet parking,2
132615,Yes,valet parking,1
132775,Yes,valet parking,1
134983,yes,,1
135035,yes,,1
135073,yes,,1
132634,none,,1
132766,yes,,1
132779,public,,1
132805,yes,,1
132808,public,,1
132879,none,,1
132883,none,,1
132571,none,,1
132665,none,,1
132751,yes,,1
132901,none,,1
133027,none,,1
133049,yes,,1
132590,yes,,1
132683,yes,,1
132750,yes,,1
132799,public,,1
132929,public,,1
132997,public,,1
133025,none,,1
134970,yes,,1
134979,none,,1
135085,public,,1
135097,yes,,1
132206,public,,1
132638,yes,,1
132644,none,,1
132678,none,,1
132748,none,,1
132752,none,,1
132760,none,,1
132828,yes,,1
132835,yes,,1
132852,public,,1
132942,none,,1
132973,none,,1
134990,yes,,1
132769,none,,1
132921,none,,1
135028,none,,1
135062,yes,,1
132806,yes,,1
132909,public,,1
132932,public,,1
132957,none,,1
132995,none,,1
132663,none,,1
132847,none,,1
132860,yes,,1
132012,public,street,2
132562,none,,1
132699,yes,,1
132708,none,,1
132715,none,,1
132738,public,,1
132773,none,,1
132819,yes,,1
132853,none,,1
132903,none,,1
133026,none,,1
134977,yes,,1
135022,none,,1
132561,none,,1
132787,yes,,1
132959,none,,1
133005,none,,1
133014,public,,1
133023,none,,1
132111,public,,2
132292,public,street,2
132569,none,,1
132686,yes,,1
132712,public,,1
132728,yes,,1
133004,none,,1
133021,none,,1
134991,yes,,1
135099,Yes,valet parking,1
132031,public,,2
132296,public,,1
132755,public,,1
132761,public,,1
132778,none,,1
135038,none,,1
132281,public,street,2
132581,none,,1
132584,yes,,1
132639,none,,1
132758,none,,1
134994,none,,1
132436,public,,1
132614,none,,1
132636,yes,,1
132673,none,,1
132713,none,,1
132918,none,,1
132941,none,,1
133041,none,,1
132377,public,,1
132437,public,,1
132587,public,,1
132668,none,,1
132950,none,,1
135076,yes,,1
132487,yes,,1
132530,public,,2
132574,yes,,1
132592,none,,1
132797,yes,,1
132943,public,,1
133038,none,,1
135006,yes,,1
135026,none,,1
135055,yes,,1
132601,public,,1
132714,none,,1
132854,yes,,1
132910,none,,1
132996,none,,1
133043,yes,,1
135032,public,,1
135036,yes,,1
135039,yes,,1
135044,none,,1
135049,none,,1
135092,none,,1
135111,public,,1
132613,yes,,1
132626,yes,,1
132660,none,,1
132749,none,,1
132783,Yes,valet parking,1
132838,none,,1
132848,none,,1
132928,none,,1
133016,none,,1
135104,yes,,1
132442,public,,1
132729,none,,1
132833,none,,1
132882,none,,1
132907,none,,1
132966,public,,1
132573,none,,1
132694,none,,1
132720,none,,1
132730,none,,1
132866,yes,,1
133015,none,,1
133033,none,,1
132605,public,,1
132647,none,,1
132669,none,,1
132756,public,,1
132792,Yes,valet parking,1
132985,none,,1
134972,none,,1
132527,public,,1
